request_date,blood_group,hospital_id,units_requested,request_count,avg_urgency_score,day_of_week,month,week_of_year,blood_group_enc,lag_1_units,lag_7_units,rolling_7d_mean
2026-04-27,A+,HOS003,3,1,1.0,0,4,18,1,5.0,4.0,4.0
2025-05-03,A+,HOS004,3,1,1.0,5,5,18,1,0.0,0.0,0.0
2025-05-08,A+,HOS004,4,1,2.0,3,5,19,1,3.0,0.0,3.0
2025-05-09,A+,HOS004,3,1,1.0,4,5,19,1,4.0,0.0,3.5
2025-05-30,A+,HOS004,6,1,3.0,4,5,22,1,3.0,0.0,3.3333333333333335
2025-06-08,A+,HOS004,4,1,2.0,6,6,23,1,6.0,0.0,4.0
2025-06-12,A+,HOS004,2,1,1.0,3,6,24,1,4.0,0.0,4.0
2025-06-20,A+,HOS004,4,1,1.0,4,6,25,1,2.0,0.0,3.6666666666666665
2025-07-06,A+,HOS004,2,1,1.0,6,7,27,1,4.0,3.0,3.7142857142857144
2025-07-17,A+,HOS004,4,1,2.0,3,7,29,1,2.0,4.0,3.5714285714285716
2025-07-27,A+,HOS004,1,1,0.0,6,7,30,1,4.0,3.0,3.5714285714285716
2025-07-31,A+,HOS004,6,1,2.0,3,7,31,1,1.0,6.0,3.2857142857142856
2025-08-06,A+,HOS004,2,1,1.0,2,8,32,1,6.0,4.0,3.2857142857142856
2025-08-13,A+,HOS004,4,1,1.0,2,8,33,1,2.0,2.0,3.0
2025-08-19,A+,HOS004,6,1,2.0,1,8,34,1,4.0,4.0,3.2857142857142856
2025-09-06,A+,HOS004,1,1,0.0,5,9,36,1,6.0,2.0,3.5714285714285716
2025-09-07,A+,HOS004,2,1,0.0,6,9,36,1,1.0,4.0,3.4285714285714284
2025-09-21,A+,HOS004,3,1,1.0,6,9,38,1,2.0,1.0,3.142857142857143
2025-09-26,A+,HOS004,4,1,2.0,4,9,39,1,3.0,6.0,3.4285714285714284
2025-09-28,A+,HOS004,7,1,2.0,6,9,39,1,4.0,2.0,3.142857142857143
2025-10-05,A+,HOS004,2,1,0.0,6,10,40,1,7.0,4.0,3.857142857142857
2025-10-16,A+,HOS004,7,1,2.0,3,10,42,1,2.0,6.0,3.5714285714285716
2025-10-20,A+,HOS004,2,1,0.0,0,10,43,1,7.0,1.0,3.7142857142857144
2025-10-22,A+,HOS004,2,1,0.0,2,10,43,1,2.0,2.0,3.857142857142857
2025-10-25,A+,HOS004,6,1,2.0,5,10,43,1,2.0,3.0,3.857142857142857
2025-10-29,A+,HOS004,2,1,1.0,2,10,44,1,6.0,4.0,4.285714285714286
2025-11-25,A+,HOS004,2,1,0.0,1,11,48,1,2.0,7.0,4.0
2025-12-02,A+,HOS004,4,1,1.0,1,12,49,1,2.0,2.0,3.2857142857142856
2025-12-05,A+,HOS004,9,2,1.5,4,12,49,1,4.0,7.0,3.5714285714285716
2025-12-06,A+,HOS004,2,1,1.0,5,12,49,1,9.0,2.0,3.857142857142857
2025-12-13,A+,HOS004,6,1,2.0,5,12,50,1,2.0,2.0,3.857142857142857
2025-12-17,A+,HOS004,2,1,1.0,2,12,51,1,6.0,6.0,4.428571428571429
2025-12-18,A+,HOS004,4,2,0.5,3,12,51,1,2.0,2.0,3.857142857142857
2025-12-21,A+,HOS004,4,1,2.0,6,12,51,1,4.0,2.0,4.142857142857143
2025-12-25,A+,HOS004,4,1,1.0,3,12,52,1,4.0,4.0,4.428571428571429
2026-01-01,A+,HOS004,3,1,1.0,3,1,1,1,4.0,9.0,4.428571428571429
2026-01-05,A+,HOS004,1,1,0.0,0,1,2,1,3.0,2.0,3.5714285714285716
2026-01-26,A+,HOS004,6,2,1.0,0,1,5,1,1.0,6.0,3.4285714285714284
2026-02-05,A+,HOS004,3,1,1.0,3,2,6,1,6.0,2.0,3.4285714285714284
2026-02-12,A+,HOS004,2,1,1.0,3,2,7,1,3.0,4.0,3.5714285714285716
2026-03-06,A+,HOS004,2,1,0.0,4,3,10,1,2.0,4.0,3.2857142857142856
2026-03-16,A+,HOS004,2,1,1.0,0,3,12,1,2.0,4.0,3.0
2026-03-20,A+,HOS004,4,1,1.0,4,3,12,1,2.0,3.0,2.7142857142857144
2026-03-23,A+,HOS004,2,1,1.0,0,3,13,1,4.0,1.0,2.857142857142857
2026-04-06,A+,HOS004,2,1,1.0,0,4,15,1,2.0,6.0,3.0
2026-04-09,A+,HOS004,2,1,1.0,3,4,15,1,2.0,3.0,2.4285714285714284
2026-04-20,A+,HOS004,1,1,0.0,0,4,17,1,2.0,2.0,2.2857142857142856
2026-05-01,A+,HOS004,8,2,1.0,4,5,18,1,1.0,2.0,2.142857142857143
2025-05-14,A+,HOS005,1,1,0.0,2,5,20,1,0.0,0.0,0.0
2025-06-05,A+,HOS005,4,1,2.0,3,6,23,1,1.0,0.0,1.0
2025-06-10,A+,HOS005,2,1,1.0,1,6,24,1,4.0,0.0,2.5
2025-06-15,A+,HOS005,1,1,0.0,6,6,24,1,2.0,0.0,2.3333333333333335
2025-06-23,A+,HOS005,2,1,1.0,0,6,26,1,1.0,0.0,2.0
2025-06-30,A+,HOS005,3,1,1.0,0,6,27,1,2.0,0.0,2.0
2025-07-02,A+,HOS005,2,1,1.0,2,7,27,1,3.0,0.0,2.1666666666666665
2025-07-09,A+,HOS005,2,1,0.0,2,7,28,1,2.0,1.0,2.142857142857143
2025-07-11,A+,HOS005,5,1,2.0,4,7,28,1,2.0,4.0,2.2857142857142856
2025-07-14,A+,HOS005,5,1,2.0,0,7,29,1,5.0,2.0,2.4285714285714284
2025-07-15,A+,HOS005,2,1,0.0,1,7,29,1,5.0,1.0,2.857142857142857
2025-07-17,A+,HOS005,1,1,0.0,3,7,29,1,2.0,2.0,3.0
2025-07-28,A+,HOS005,1,1,0.0,0,7,31,1,1.0,3.0,2.857142857142857
2025-07-30,A+,HOS005,2,1,1.0,2,7,31,1,1.0,2.0,2.5714285714285716
2025-08-01,A+,HOS005,2,1,1.0,4,8,31,1,2.0,2.0,2.5714285714285716
2025-08-04,A+,HOS005,1,1,0.0,0,8,32,1,2.0,5.0,2.5714285714285716
2025-08-07,A+,HOS005,8,1,2.0,3,8,32,1,1.0,5.0,2.0
2025-08-30,A+,HOS005,2,1,1.0,5,8,35,1,8.0,2.0,2.4285714285714284
2025-09-04,A+,HOS005,5,2,1.0,3,9,36,1,2.0,1.0,2.4285714285714284
2025-09-07,A+,HOS005,2,1,0.0,6,9,36,1,5.0,1.0,3.0
2025-09-27,A+,HOS005,4,1,2.0,5,9,39,1,2.0,2.0,3.142857142857143
2025-09-29,A+,HOS005,1,1,0.0,0,9,40,1,4.0,2.0,3.4285714285714284
2025-09-30,A+,HOS005,4,1,1.0,1,9,40,1,1.0,1.0,3.2857142857142856
2025-10-10,A+,HOS005,13,2,2.0,4,10,41,1,4.0,8.0,3.7142857142857144
2025-11-06,A+,HOS005,5,2,0.5,3,11,45,1,13.0,2.0,4.428571428571429
2025-11-11,A+,HOS005,8,1,2.0,1,11,46,1,5.0,5.0,4.857142857142857
2025-11-17,A+,HOS005,1,1,0.0,0,11,47,1,8.0,2.0,5.285714285714286
2025-11-25,A+,HOS005,2,1,0.0,1,11,48,1,1.0,4.0,5.142857142857143
2025-11-27,A+,HOS005,2,1,0.0,3,11,48,1,2.0,1.0,4.857142857142857
2025-12-01,A+,HOS005,8,1,2.0,0,12,49,1,2.0,4.0,5.0
2025-12-14,A+,HOS005,2,1,0.0,6,12,50,1,8.0,13.0,5.571428571428571
2025-12-17,A+,HOS005,7,1,2.0,2,12,51,1,2.0,5.0,4.0
2026-01-01,A+,HOS005,4,1,1.0,3,1,1,1,7.0,8.0,4.285714285714286
2026-01-08,A+,HOS005,3,1,1.0,3,1,2,1,4.0,1.0,3.7142857142857144
2026-01-25,A+,HOS005,1,1,0.0,6,1,4,1,3.0,2.0,4.0
2026-01-28,A+,HOS005,3,1,1.0,2,1,5,1,1.0,2.0,3.857142857142857
2026-02-02,A+,HOS005,8,1,2.0,0,2,6,1,3.0,8.0,4.0
2026-02-06,A+,HOS005,2,1,0.0,4,2,6,1,8.0,2.0,4.0
2026-02-17,A+,HOS005,3,1,1.0,1,2,8,1,2.0,7.0,4.0
2026-02-22,A+,HOS005,4,1,2.0,6,2,8,1,3.0,4.0,3.4285714285714284
2026-03-02,A+,HOS005,14,1,3.0,0,3,10,1,4.0,3.0,3.4285714285714284
2026-03-04,A+,HOS005,3,1,1.0,2,3,10,1,14.0,1.0,5.0
2026-03-13,A+,HOS005,1,1,0.0,4,3,11,1,3.0,3.0,5.285714285714286
2026-03-15,A+,HOS005,2,1,0.0,6,3,11,1,1.0,8.0,5.0
2026-03-16,A+,HOS005,1,1,0.0,0,3,12,1,2.0,2.0,4.142857142857143
2026-03-22,A+,HOS005,8,1,2.0,6,3,12,1,1.0,3.0,4.0
2026-03-25,A+,HOS005,1,1,0.0,2,3,13,1,8.0,4.0,4.714285714285714
2026-03-27,A+,HOS005,2,1,1.0,4,3,13,1,1.0,14.0,4.285714285714286
2026-04-09,A+,HOS005,1,1,0.0,3,4,15,1,2.0,3.0,2.5714285714285716
2026-04-18,A+,HOS005,2,1,0.0,5,4,16,1,1.0,1.0,2.2857142857142856
2026-04-22,A+,HOS005,2,1,1.0,2,4,17,1,2.0,2.0,2.4285714285714284
2026-04-30,A+,HOS005,10,1,3.0,3,4,18,1,2.0,1.0,2.4285714285714284
2025-05-18,A+,HOS006,4,1,2.0,6,5,20,1,0.0,0.0,0.0
2025-05-31,A+,HOS006,2,1,0.0,5,5,22,1,4.0,0.0,4.0
2025-07-08,A+,HOS006,5,1,2.0,1,7,28,1,2.0,0.0,3.0
2025-07-23,A+,HOS006,2,1,1.0,2,7,30,1,5.0,0.0,3.6666666666666665
2025-07-28,A+,HOS006,2,1,0.0,0,7,31,1,2.0,0.0,3.25
2025-07-31,A+,HOS006,4,1,1.0,3,7,31,1,2.0,0.0,3.0
2025-08-01,A+,HOS006,4,1,1.0,4,8,31,1,4.0,0.0,3.1666666666666665
2025-08-03,A+,HOS006,7,1,3.0,6,8,31,1,4.0,4.0,3.2857142857142856
2025-08-14,A+,HOS006,4,1,1.0,3,8,33,1,7.0,2.0,3.7142857142857144
2025-08-27,A+,HOS006,2,1,0.0,2,8,35,1,4.0,5.0,4.0
2025-09-12,A+,HOS006,2,1,1.0,4,9,37,1,2.0,2.0,3.5714285714285716
2025-09-14,A+,HOS006,2,1,0.0,6,9,37,1,2.0,2.0,3.5714285714285716
2025-09-24,A+,HOS006,3,1,1.0,2,9,39,1,2.0,4.0,3.5714285714285716
2025-09-26,A+,HOS006,1,1,0.0,4,9,39,1,3.0,4.0,3.4285714285714284
2025-10-03,A+,HOS006,8,1,2.0,4,10,40,1,1.0,7.0,3.0
2025-10-04,A+,HOS006,7,1,2.0,5,10,40,1,8.0,4.0,3.142857142857143
2025-10-11,A+,HOS006,4,1,1.0,5,10,41,1,7.0,2.0,3.5714285714285716
2025-10-15,A+,HOS006,2,1,0.0,2,10,42,1,4.0,2.0,3.857142857142857
2025-10-19,A+,HOS006,3,1,1.0,6,10,42,1,2.0,2.0,3.857142857142857
2025-10-23,A+,HOS006,2,1,1.0,3,10,43,1,3.0,3.0,4.0
2025-11-03,A+,HOS006,5,1,2.0,0,11,45,1,2.0,1.0,3.857142857142857
2025-11-04,A+,HOS006,2,1,1.0,1,11,45,1,5.0,8.0,4.428571428571429
2025-11-26,A+,HOS006,2,1,1.0,2,11,48,1,2.0,7.0,3.5714285714285716
2025-12-13,A+,HOS006,1,1,0.0,5,12,50,1,2.0,4.0,2.857142857142857
2025-12-14,A+,HOS006,5,2,0.5,6,12,50,1,1.0,2.0,2.4285714285714284
2025-12-21,A+,HOS006,2,1,0.0,6,12,51,1,5.0,3.0,2.857142857142857
2025-12-28,A+,HOS006,8,2,1.5,6,12,52,1,2.0,2.0,2.7142857142857144
2026-01-13,A+,HOS006,2,1,1.0,1,1,3,1,8.0,5.0,3.5714285714285716
2026-01-15,A+,HOS006,3,1,1.0,3,1,3,1,2.0,2.0,3.142857142857143
2026-01-16,A+,HOS006,3,1,1.0,4,1,3,1,3.0,2.0,3.2857142857142856
2026-01-18,A+,HOS006,4,1,1.0,6,1,3,1,3.0,1.0,3.4285714285714284
2026-01-25,A+,HOS006,2,1,0.0,6,1,4,1,4.0,5.0,3.857142857142857
2026-01-29,A+,HOS006,4,2,0.0,3,1,5,1,2.0,2.0,3.4285714285714284
2026-02-05,A+,HOS006,2,1,1.0,3,2,6,1,4.0,8.0,3.7142857142857144
2026-02-06,A+,HOS006,1,1,0.0,4,2,6,1,2.0,2.0,2.857142857142857
2026-03-06,A+,HOS006,2,1,0.0,4,3,10,1,1.0,3.0,2.7142857142857144
2026-03-14,A+,HOS006,4,1,1.0,5,3,11,1,2.0,3.0,2.5714285714285716
2026-04-02,A+,HOS006,4,1,1.0,3,4,14,1,4.0,4.0,2.7142857142857144
2026-04-03,A+,HOS006,4,1,1.0,4,4,14,1,4.0,2.0,2.7142857142857144
2026-04-05,A+,HOS006,3,1,1.0,6,4,14,1,4.0,4.0,3.0
2026-04-09,A+,HOS006,1,1,0.0,3,4,15,1,3.0,2.0,2.857142857142857
2025-05-06,A+,HOS007,2,1,1.0,1,5,19,1,0.0,0.0,0.0
2025-05-15,A+,HOS007,2,1,0.0,3,5,20,1,2.0,0.0,2.0
2025-05-16,A+,HOS007,4,1,1.0,4,5,20,1,2.0,0.0,2.0
2025-05-26,A+,HOS007,2,1,0.0,0,5,22,1,4.0,0.0,2.6666666666666665
2025-07-02,A+,HOS007,2,1,1.0,2,7,27,1,2.0,0.0,2.5
2025-07-07,A+,HOS007,3,1,1.0,0,7,28,1,2.0,0.0,2.4
2025-07-08,A+,HOS007,3,1,1.0,1,7,28,1,3.0,0.0,2.5
2025-07-17,A+,HOS007,3,1,1.0,3,7,29,1,3.0,2.0,2.5714285714285716
2025-07-21,A+,HOS007,3,1,1.0,0,7,30,1,3.0,2.0,2.7142857142857144
2025-08-03,A+,HOS007,3,1,1.0,6,8,31,1,3.0,4.0,2.857142857142857
2025-08-09,A+,HOS007,2,1,0.0,5,8,32,1,3.0,2.0,2.7142857142857144
2025-08-12,A+,HOS007,2,1,0.0,1,8,33,1,2.0,2.0,2.7142857142857144
2025-08-31,A+,HOS007,2,1,1.0,6,8,35,1,2.0,3.0,2.7142857142857144
2025-09-08,A+,HOS007,3,2,0.0,0,9,37,1,2.0,3.0,2.5714285714285716
2025-09-09,A+,HOS007,4,1,1.0,1,9,37,1,3.0,3.0,2.5714285714285716
2025-10-08,A+,HOS007,1,1,0.0,2,10,41,1,4.0,3.0,2.7142857142857144
2025-10-11,A+,HOS007,2,1,0.0,5,10,41,1,1.0,3.0,2.4285714285714284
2025-10-14,A+,HOS007,4,1,1.0,1,10,42,1,2.0,2.0,2.2857142857142856
2025-10-15,A+,HOS007,12,2,2.0,2,10,42,1,4.0,2.0,2.5714285714285716
2025-10-25,A+,HOS007,1,1,0.0,5,10,43,1,12.0,2.0,4.0
2025-11-27,A+,HOS007,6,1,2.0,3,11,48,1,1.0,3.0,3.857142857142857
2025-12-13,A+,HOS007,2,1,0.0,5,12,50,1,6.0,4.0,4.285714285714286
2026-01-04,A+,HOS007,5,2,1.0,6,1,1,1,2.0,1.0,4.0
2026-01-14,A+,HOS007,2,1,0.0,2,1,3,1,5.0,2.0,4.571428571428571
2026-01-22,A+,HOS007,1,1,0.0,3,1,4,1,2.0,4.0,4.571428571428571
